DOR Code,LEA Code,Municipality,County,Cherry Sheet FY,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita
001,1,Abington,PLYMOUTH,2019,"16,227","557,268,000","34,342","1,892,537,300","116,629"
002,2,Acton,MIDDLESEX,2019,"23,549","1,443,207,000","61,285","4,306,412,900","182,870"
003,3,Acushnet,BRISTOL,2019,"10,477","308,194,000","29,416","1,105,676,500","105,534"
004,4,Adams,BERKSHIRE,2019,"8,187","183,015,000","22,354","497,127,100","60,722"
005,5,Agawam,HAMPDEN,2019,"28,839","813,211,000","28,198","2,949,078,000","102,260"
006,6,Alford,BERKSHIRE,2019,495,"19,837,000","40,075","297,724,600","601,464"
007,7,Amesbury,ESSEX,2019,"17,414","593,207,000","34,065","2,035,493,900","116,888"
008,8,Amherst,HAMPSHIRE,2019,"39,833","695,780,000","17,467","2,348,821,000","58,967"
009,9,Andover,ESSEX,2019,"35,299","2,776,034,000","78,643","7,972,993,500","225,870"
010,10,Arlington,MIDDLESEX,2019,"44,815","2,535,701,000","56,582","9,073,201,400","202,459"
011,11,Ashburnham,WORCESTER,2019,"6,209","215,228,000","34,664","600,324,900","96,686"
012,12,Ashby,MIDDLESEX,2019,"3,226","100,304,000","31,092","288,229,500","89,346"
013,13,Ashfield,FRANKLIN,2019,"1,723","45,081,000","26,164","241,758,400","140,312"
014,14,Ashland,MIDDLESEX,2019,"17,573","833,233,000","47,416","2,509,720,800","142,817"
015,15,Athol,WORCESTER,2019,"11,654","226,597,000","19,444","673,223,300","57,768"
016,16,Attleboro,BRISTOL,2019,"44,284","1,382,625,000","31,222","4,266,596,600","96,346"
017,17,Auburn,WORCESTER,2019,"16,516","551,586,000","33,397","2,042,948,200","123,695"
018,18,Avon,NORFOLK,2019,"4,498","147,040,000","32,690","823,961,800","183,184"
019,19,Ayer,MIDDLESEX,2019,"8,001","261,294,000","32,658","1,102,998,400","137,858"
020,20,Barnstable,BARNSTABLE,2019,"44,331","1,677,855,000","37,848","13,665,091,900","308,251"
021,21,Barre,WORCESTER,2019,"5,496","138,210,000","25,147","431,266,200","78,469"
022,22,Becket,BERKSHIRE,2019,"1,762","48,089,000","27,292","518,810,500","294,444"
023,23,Bedford,MIDDLESEX,2019,"14,171","897,532,000","63,336","3,503,731,500","247,247"
024,24,Belchertown,HAMPSHIRE,2019,"14,929","494,255,000","33,107","1,458,257,000","97,679"
025,25,Bellingham,NORFOLK,2019,"16,891","576,785,000","34,147","2,306,766,000","136,568"
026,26,Belmont,MIDDLESEX,2019,"25,584","2,085,819,000","81,528","6,932,749,000","270,980"
027,27,Berkley,BRISTOL,2019,"6,658","235,981,000","35,443","772,614,400","116,043"
028,28,Berlin,WORCESTER,2019,"3,020","154,765,000","51,247","600,240,900","198,755"
029,29,Bernardston,FRANKLIN,2019,"2,101","60,913,000","28,992","216,985,900","103,277"
030,30,Beverly,ESSEX,2019,"41,186","1,745,748,000","42,387","6,145,554,700","149,215"
031,31,Billerica,MIDDLESEX,2019,"42,683","1,531,796,000","35,888","6,134,145,700","143,714"
032,32,Blackstone,WORCESTER,2019,"9,104","271,352,000","29,806","894,520,200","98,256"
033,33,Blandford,HAMPDEN,2019,"1,259","36,451,000","28,952","174,294,800","138,439"
034,34,Bolton,WORCESTER,2019,"5,180","389,224,000","75,140","1,007,514,900","194,501"
035,35,Boston,SUFFOLK,2019,"667,137","30,323,113,000","45,453","143,576,209,500","215,212"
036,36,Bourne,BARNSTABLE,2019,"19,681","654,208,000","33,241","4,397,828,000","223,456"
037,37,Boxborough,MIDDLESEX,2019,"5,206","298,420,000","57,322","1,104,126,800","212,087"
038,38,Boxford,ESSEX,2019,"8,253","863,306,000","104,605","1,748,702,500","211,887"
039,39,Boylston,WORCESTER,2019,"4,534","244,186,000","53,857","686,459,600","151,403"
040,40,Braintree,NORFOLK,2019,"37,497","1,516,139,000","40,434","6,327,219,800","168,739"
041,41,Brewster,BARNSTABLE,2019,"9,918","318,794,000","32,143","3,720,926,000","375,169"
042,42,Bridgewater,PLYMOUTH,2019,"27,628","869,094,000","31,457","2,684,073,900","97,150"
043,43,Brimfield,HAMPDEN,2019,"3,741","125,530,000","33,555","417,860,100","111,697"
044,44,Brockton,PLYMOUTH,2019,"95,314","1,915,272,000","20,094","6,479,586,800","67,981"
045,45,Brookfield,WORCESTER,2019,"3,411","92,117,000","27,006","262,013,600","76,814"
046,46,Brookline,NORFOLK,2019,"59,195","4,541,795,000","76,726","20,944,753,300","353,826"
047,47,Buckland,FRANKLIN,2019,"1,864","38,712,950","20,769","222,381,700","119,303"
048,48,Burlington,MIDDLESEX,2019,"25,920","1,151,815,000","44,437","6,191,239,400","238,860"
049,49,Cambridge,MIDDLESEX,2019,"110,402","6,515,242,000","59,014","39,570,828,700","358,425"
050,50,Canton,NORFOLK,2019,"22,817","1,340,372,000","58,744","4,615,563,300","202,286"
051,51,Carlisle,MIDDLESEX,2019,"5,245","585,530,000","111,636","1,517,185,600","289,263"
052,52,Carver,PLYMOUTH,2019,"11,629","342,777,000","29,476","1,242,705,100","106,863"
053,53,Charlemont,FRANKLIN,2019,"1,234","31,462,000","25,496","137,142,200","111,136"
054,54,Charlton,WORCESTER,2019,"13,406","466,890,000","34,827","1,487,604,400","110,966"
055,55,Chatham,BARNSTABLE,2019,"6,143","348,026,000","56,654","6,588,014,300","1,072,443"
056,56,Chelmsford,MIDDLESEX,2019,"35,149","1,822,894,000","51,862","5,436,078,900","154,658"
057,57,Chelsea,SUFFOLK,2019,"39,398","668,765,000","16,975","2,791,398,900","70,851"
058,58,Cheshire,BERKSHIRE,2019,"3,158","87,587,000","27,735","311,065,100","98,501"
059,59,Chester,HAMPDEN,2019,"1,372","30,034,000","21,891","122,249,300","89,103"
060,60,Chesterfield,HAMPSHIRE,2019,"1,249","27,253,000","21,820","157,173,400","125,839"
061,61,Chicopee,HAMPDEN,2019,"56,741","1,099,663,000","19,380","3,898,874,600","68,714"
062,62,Chilmark,DUKES,2019,916,"62,433,000","68,158","3,324,185,000","3,629,023"
063,63,Clarksburg,BERKSHIRE,2019,"1,659","35,655,000","21,492","114,006,000","68,720"
064,64,Clinton,WORCESTER,2019,"13,805","410,062,000","29,704","1,197,036,900","86,710"
065,65,Cohasset,NORFOLK,2019,"8,393","901,151,000","107,369","2,746,663,500","327,256"
066,66,Colrain,FRANKLIN,2019,"1,647","46,780,000","28,403","177,586,600","107,824"
067,67,Concord,MIDDLESEX,2019,"19,830","2,361,511,000","119,088","6,238,214,600","314,585"
068,68,Conway,FRANKLIN,2019,"1,881","68,233,000","36,275","251,373,100","133,638"
069,69,Cummington,HAMPSHIRE,2019,871,"29,319,000","33,661","132,105,600","151,671"
070,70,Dalton,BERKSHIRE,2019,"6,661","202,509,000","30,402","610,490,000","91,651"
071,71,Danvers,ESSEX,2019,"27,849","1,114,374,000","40,015","4,637,914,500","166,538"
072,72,Dartmouth,BRISTOL,2019,"34,715","1,192,537,000","34,352","5,465,842,900","157,449"
073,73,Dedham,NORFOLK,2019,"25,397","1,362,978,000","53,667","4,726,182,700","186,092"
074,74,Deerfield,FRANKLIN,2019,"5,015","199,243,000","39,729","701,406,100","139,862"
075,75,Dennis,BARNSTABLE,2019,"14,005","448,800,000","32,046","6,726,007,200","480,258"
076,76,Dighton,BRISTOL,2019,"7,399","247,234,000","33,415","893,256,400","120,727"
077,77,Douglas,WORCESTER,2019,"8,728","305,682,000","35,023","939,822,500","107,679"
078,78,Dover,NORFOLK,2019,"5,961","1,280,937,000","214,886","2,504,188,200","420,095"
079,79,Dracut,MIDDLESEX,2019,"31,352","1,032,315,000","32,927","3,215,541,900","102,563"
080,80,Dudley,WORCESTER,2019,"11,587","316,315,000","27,299","933,666,600","80,579"
081,81,Dunstable,MIDDLESEX,2019,"3,435","176,885,000","51,495","512,397,400","149,170"
082,82,Duxbury,PLYMOUTH,2019,"15,483","1,303,478,000","84,188","3,855,499,800","249,015"
083,83,East Bridgewater,PLYMOUTH,2019,"14,343","460,302,000","32,092","1,577,500,000","109,984"
084,84,East Brookfield,WORCESTER,2019,"2,187","66,344,000","30,336","219,179,100","100,219"
085,87,East Longmeadow,HAMPDEN,2019,"16,213","675,078,000","41,638","1,924,966,600","118,730"
086,85,Eastham,BARNSTABLE,2019,"4,915","159,865,000","32,526","2,915,139,400","593,111"
087,86,Easthampton,HAMPSHIRE,2019,"16,030","458,298,000","28,590","1,523,884,600","95,065"
088,88,Easton,BRISTOL,2019,"23,908","1,149,658,000","48,087","3,347,121,200","140,000"
089,89,Edgartown,DUKES,2019,"4,306","227,538,000","52,842","7,747,629,000","1,799,264"
090,90,Egremont,BERKSHIRE,2019,"1,210","32,681,000","27,009","425,211,700","351,415"
091,91,Erving,FRANKLIN,2019,"1,776","33,752,000","19,005","887,378,000","499,650"
092,92,Essex,ESSEX,2019,"3,661","211,512,000","57,774","820,482,500","224,114"
093,93,Everett,MIDDLESEX,2019,"46,050","909,445,000","19,749","4,584,699,100","99,559"
094,94,Fairhaven,BRISTOL,2019,"16,140","442,603,000","27,423","2,013,791,800","124,770"
095,95,Fall River,BRISTOL,2019,"88,777","1,478,168,000","16,650","5,421,691,200","61,071"
096,96,Falmouth,BARNSTABLE,2019,"31,524","1,209,012,000","38,352","11,892,819,800","377,262"
097,97,Fitchburg,WORCESTER,2019,"40,545","767,896,000","18,939","2,306,844,100","56,896"
098,98,Florida,BERKSHIRE,2019,730,"12,329,000","16,889","123,349,700","168,972"
099,99,Foxborough,NORFOLK,2019,"17,456","858,722,000","49,194","2,963,786,200","169,786"
100,100,Framingham,MIDDLESEX,2019,"71,209","2,441,946,000","34,293","8,446,149,400","118,611"
101,101,Franklin,NORFOLK,2019,"33,147","1,579,926,000","47,664","5,001,281,700","150,882"
102,102,Freetown,BRISTOL,2019,"9,179","311,345,000","33,919","1,281,370,100","139,598"
103,103,Gardner,WORCESTER,2019,"20,333","413,033,000","20,313","1,186,613,100","58,359"
104,104,Aquinnah,DUKES,2019,328,"5,169,000","15,759","724,087,400","2,207,584"
105,105,Georgetown,ESSEX,2019,"8,584","406,041,000","47,302","1,211,493,100","141,134"
106,106,Gill,FRANKLIN,2019,"1,492","37,581,000","25,188","159,051,900","106,603"
107,107,Gloucester,ESSEX,2019,"29,781","1,159,809,000","38,945","6,026,476,200","202,360"
108,108,Goshen,HAMPSHIRE,2019,"1,070","13,671,000","12,777","150,096,400","140,277"
109,109,Gosnold,DUKES,2019,77,"1,329,000","17,260","232,938,000","3,025,169"
110,110,Grafton,WORCESTER,2019,"18,540","874,673,000","47,178","2,333,827,700","125,881"
111,111,Granby,HAMPSHIRE,2019,"6,352","195,369,000","30,757","601,538,100","94,701"
112,112,Granville,HAMPDEN,2019,"1,622","53,399,000","32,922","199,372,400","122,918"
113,113,Great Barrington,BERKSHIRE,2019,"6,907","271,655,000","39,330","1,430,331,200","207,084"
114,114,Greenfield,FRANKLIN,2019,"17,450","381,541,000","21,865","1,421,720,500","81,474"
115,115,Groton,MIDDLESEX,2019,"11,296","776,471,000","68,739","1,635,643,200","144,798"
116,116,Groveland,ESSEX,2019,"6,750","255,506,000","37,853","892,145,100","132,170"
117,117,Hadley,HAMPSHIRE,2019,"5,352","168,287,000","31,444","995,766,700","186,055"
118,118,Halifax,PLYMOUTH,2019,"7,834","256,590,000","32,753","842,935,900","107,600"
119,119,Hamilton,ESSEX,2019,"8,179","546,666,000","66,838","1,461,991,200","178,749"
120,120,Hampden,HAMPDEN,2019,"5,223","206,851,000","39,604","592,716,700","113,482"
121,121,Hancock,BERKSHIRE,2019,710,"8,716,000","12,276","309,488,700","435,900"
122,122,Hanover,PLYMOUTH,2019,"14,424","774,408,000","53,689","2,595,375,300","179,935"
123,123,Hanson,PLYMOUTH,2019,"10,630","363,219,000","34,169","1,233,299,600","116,021"
