DOR Code,LEA Code,Municipality,County,Cherry Sheet FY,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita
001,1,Abington,PLYMOUTH,2021,"16,516","597,856,000","36,199","2,103,633,000","127,369"
002,2,Acton,MIDDLESEX,2021,"23,738","1,569,766,000","66,129","4,597,929,200","193,695"
003,3,Acushnet,BRISTOL,2021,"10,580","337,691,000","31,918","1,214,098,100","114,754"
004,4,Adams,BERKSHIRE,2021,"8,077","191,880,000","23,756","525,826,800","65,102"
005,5,Agawam,HAMPDEN,2021,"28,854","850,720,000","29,484","3,067,519,900","106,312"
006,6,Alford,BERKSHIRE,2021,491,"18,140,000","36,945","279,820,300","569,899"
007,7,Amesbury,ESSEX,2021,"17,569","675,197,000","38,431","2,273,556,700","129,407"
008,8,Amherst,HAMPSHIRE,2021,"39,503","772,086,000","19,545","2,516,974,800","63,716"
009,9,Andover,ESSEX,2021,"36,403","3,006,243,000","82,582","8,453,211,200","232,212"
010,10,Arlington,MIDDLESEX,2021,"45,624","2,783,875,000","61,018","10,614,146,500","232,644"
011,11,Ashburnham,WORCESTER,2021,"6,346","227,762,000","35,891","640,811,300","100,979"
012,12,Ashby,MIDDLESEX,2021,"3,234","107,391,000","33,207","319,398,200","98,763"
013,13,Ashfield,FRANKLIN,2021,"1,734","48,226,000","27,812","248,466,800","143,291"
014,14,Ashland,MIDDLESEX,2021,"17,739","897,367,000","50,587","2,809,780,000","158,396"
015,15,Athol,WORCESTER,2021,"11,753","239,184,000","20,351","730,647,700","62,167"
016,16,Attleboro,BRISTOL,2021,"45,117","1,476,322,000","32,722","4,710,804,300","104,413"
017,17,Auburn,WORCESTER,2021,"16,782","577,559,000","34,415","2,175,990,900","129,662"
018,18,Avon,NORFOLK,2021,"4,519","159,994,000","35,405","855,860,900","189,392"
019,19,Ayer,MIDDLESEX,2021,"8,164","281,209,000","34,445","1,219,304,900","149,351"
020,20,Barnstable,BARNSTABLE,2021,"44,460","1,838,787,000","41,358","14,932,044,600","335,853"
021,21,Barre,WORCESTER,2021,"5,592","141,187,000","25,248","458,372,300","81,969"
022,22,Becket,BERKSHIRE,2021,"1,730","50,942,000","29,446","523,623,000","302,672"
023,23,Bedford,MIDDLESEX,2021,"14,195","1,026,747,000","72,332","3,957,585,000","278,801"
024,24,Belchertown,HAMPSHIRE,2021,"15,134","526,637,000","34,798","1,554,339,300","102,705"
025,25,Bellingham,NORFOLK,2021,"17,182","611,911,000","35,613","2,504,502,600","145,763"
026,26,Belmont,MIDDLESEX,2021,"26,330","2,512,075,000","95,407","7,850,565,400","298,160"
027,27,Berkley,BRISTOL,2021,"6,802","260,329,000","38,272","880,793,800","129,490"
028,28,Berlin,WORCESTER,2021,"3,220","161,955,000","50,297","642,333,300","199,482"
029,29,Bernardston,FRANKLIN,2021,"2,114","63,761,000","30,161","216,624,000","102,471"
030,30,Beverly,ESSEX,2021,"42,312","1,843,316,000","43,565","6,939,374,700","164,005"
031,31,Billerica,MIDDLESEX,2021,"43,784","1,648,973,000","37,662","6,791,697,200","155,118"
032,32,Blackstone,WORCESTER,2021,"9,326","295,393,000","31,674","972,102,100","104,236"
033,33,Blandford,HAMPDEN,2021,"1,260","38,466,000","30,529","174,764,000","138,702"
034,34,Bolton,WORCESTER,2021,"5,376","409,226,000","76,121","1,087,848,200","202,353"
035,35,Boston,SUFFOLK,2021,"694,583","35,247,155,000","50,746","179,793,040,700","258,850"
